#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV32	species	Cetorhinus maximus	Eukaryota	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Cetorhinus	Cetorhinus maximus	best hit
ASV33	species	Hippoglossoides platessoides	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossoides	Hippoglossoides platessoides	best hit
ASV34	species	Myoxocephalus octodecemspinosus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Myoxocephalus	Myoxocephalus octodecemspinosus	best hit
ASV35	species	Citharichthys arctifrons	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Cyclopsettidae	Citharichthys	Citharichthys arctifrons	best hit
ASV36	species	Melanogrammus aeglefinus	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Melanogrammus	Melanogrammus aeglefinus	best hit
ASV37	species	Paralepididae sp.	Eukaryota	Chordata	Actinopteri	Aulopiformes	Paralepididae	unknown genus	Paralepididae sp.	best hit
ASV38	species	Benthosema glaciale	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Benthosema	Benthosema glaciale	best hit
ASV39	species	Myoxocephalus aenaeus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Myoxocephalus	Myoxocephalus aenaeus	best hit
ASV40	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV41	species	Triglops murrayi	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Triglops	Triglops murrayi	best hit
ASV42	order	Perciformes	Eukaryota	Chordata	Actinopteri	Perciformes	no identification	no identification	no identification	lca
ASV43	species	Enchelyopus cimbrius	Eukaryota	Chordata	Actinopteri	Gadiformes	Gaidropsaridae	Enchelyopus	Enchelyopus cimbrius	best hit
ASV44	species	Leucoraja erinaceus	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja erinaceus	best hit
ASV45	species	Amblyraja radiata	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Amblyraja	Amblyraja radiata	best hit
ASV46	species	Pungitius pungitius	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Pungitius	Pungitius pungitius	best hit
ASV47	species	Syngnathus fuscus	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Syngnathidae	Syngnathus	Syngnathus fuscus	best hit
ASV48	species	Glyptocephalus cynoglossus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Glyptocephalus	Glyptocephalus cynoglossus	best hit
ASV49	species	Hippoglossus hippoglossus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossus	Hippoglossus hippoglossus	best hit
ASV50	species	Lophius americanus	Eukaryota	Chordata	Actinopteri	Lophiiformes	Lophiidae	Lophius	Lophius americanus	best hit
ASV51	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV53	species	Morone americana	Eukaryota	Chordata	Actinopteri	unknown order	Moronidae	Morone	Morone americana	best hit
ASV54	species	Hemitripterus americanus	Eukaryota	Chordata	Actinopteri	Perciformes	Agonidae	Hemitripterus	Hemitripterus americanus	best hit
ASV55	species	Pleuronectes platessa	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Pleuronectes	Pleuronectes platessa	best hit
ASV56	species	Cryptacanthodes maculatus	Eukaryota	Chordata	Actinopteri	Perciformes	Cryptacanthodidae	Cryptacanthodes	Cryptacanthodes maculatus	best hit
ASV57	species	Liparis bathyarcticus	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis	Liparis bathyarcticus	best hit
ASV59	species	Peprilus triacanthus	Eukaryota	Chordata	Actinopteri	Scombriformes	Stromateidae	Peprilus	Peprilus triacanthus	best hit
ASV60	species	Oncorhynchus mykiss	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus mykiss	best hit
ASV61	species	Mallotus villosus	Eukaryota	Chordata	Actinopteri	Osmeriformes	Salangidae	Mallotus	Mallotus villosus	best hit
ASV62	species	Ammodytes cf. americanus	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes cf. americanus	best hit
ASV63	species	Malacoraja kreffti	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Malacoraja	Malacoraja kreffti	best hit
ASV64	species	Lumpenus lampretaeformis	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Lumpenus	Lumpenus lampretaeformis	best hit
ASV66	species	Eumicrotremus spinosus	Eukaryota	Chordata	Actinopteri	Perciformes	Cyclopteridae	Eumicrotremus	Eumicrotremus spinosus	best hit
ASV67	species	Mola mola	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Molidae	Mola	Mola mola	best hit
ASV68	species	Fundulus diaphanus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus diaphanus	best hit
ASV69	species	Lycodes tanakae	Eukaryota	Chordata	Actinopteri	Perciformes	Zoarcidae	Lycodes	Lycodes tanakae	best hit
ASV70	species	Leucoraja erinaceus	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja erinaceus	best hit
ASV71	species	Brosme brosme	Eukaryota	Chordata	Actinopteri	Gadiformes	Lotidae	Brosme	Brosme brosme	best hit
ASV72	species	Squalus acanthias	Eukaryota	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV73	species	Fundulus diaphanus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus diaphanus	best hit
ASV74	species	Zoarces americanus	Eukaryota	Chordata	Actinopteri	Perciformes	Zoarcidae	Zoarces	Zoarces americanus	best hit
ASV75	species	Eumicrotremus spinosus	Eukaryota	Chordata	Actinopteri	Perciformes	Cyclopteridae	Eumicrotremus	Eumicrotremus spinosus	best hit
ASV76	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV77	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV78	species	Lampanyctus macdonaldi	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampanyctus	Lampanyctus macdonaldi	best hit
ASV79	species	Catostomus commersonii	Eukaryota	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus commersonii	best hit
ASV80	species	Urophycis chuss	Eukaryota	Chordata	Actinopteri	Gadiformes	Phycidae	Urophycis	Urophycis chuss	best hit
ASV81	species	Melanogrammus aeglefinus	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Melanogrammus	Melanogrammus aeglefinus	best hit
ASV83	species	Perca flavescens	Eukaryota	Chordata	Actinopteri	Perciformes	Percidae	Perca	Perca flavescens	best hit
ASV84	species	Pollachius virens	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Pollachius	Pollachius virens	best hit
ASV86	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV87	species	Morone saxatilis	Eukaryota	Chordata	Actinopteri	unknown order	Moronidae	Morone	Morone saxatilis	best hit
ASV88	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV89	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV90	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV91	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV92	species	Conger oceanicus	Eukaryota	Chordata	Actinopteri	Anguilliformes	Congridae	Conger	Conger oceanicus	best hit
ASV93	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV94	species	Pungitius laevis	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Pungitius	Pungitius laevis	best hit
ASV95	species	Notoscopelus elongatus	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Notoscopelus	Notoscopelus elongatus	best hit
ASV96	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV97	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV98	species	Pollachius virens	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Pollachius	Pollachius virens	best hit
ASV99	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV100	species	Dipturus batis	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Dipturus	Dipturus batis	best hit
ASV101	species	Pontinus rathbuni	Eukaryota	Chordata	Actinopteri	Perciformes	Scorpaenidae	Pontinus	Pontinus rathbuni	best hit
ASV102	family	Cottidae	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	no identification	no identification	lca
ASV103	species	Tautogolabrus adspersus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus	best hit
ASV104	species	Merluccius albidus	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius albidus	best hit
ASV105	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV106	species	Ammodytes americanus	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes americanus	best hit
ASV107	species	Salvelinus fontinalis	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus fontinalis	best hit
ASV108	species	Paralepididae sp.	Eukaryota	Chordata	Actinopteri	Aulopiformes	Paralepididae	unknown genus	Paralepididae sp.	best hit
ASV109	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV110	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV111	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV112	species	Benthosema glaciale	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Benthosema	Benthosema glaciale	best hit
ASV113	species	Hippoglossina oblonga	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Hippoglossina	Hippoglossina oblonga	best hit
ASV114	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV115	species	Tautogolabrus adspersus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus	best hit
ASV116	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV117	species	Notoscopelus elongatus	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Notoscopelus	Notoscopelus elongatus	best hit
ASV118	species	Semotilus atromaculatus	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Semotilus	Semotilus atromaculatus	best hit
ASV119	species	Zenopsis conchifer	Eukaryota	Chordata	Actinopteri	Zeiformes	Zeidae	Zenopsis	Zenopsis conchifer	best hit
ASV120	genus	Liparis	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis	no identification	lca
ASV121	species	Salmo salar	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo salar	best hit
ASV122	species	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis gunnellus	best hit
ASV123	species	Apeltes quadracus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Apeltes	Apeltes quadracus	best hit
ASV124	species	Amblyraja radiata	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Amblyraja	Amblyraja radiata	best hit
ASV125	species	Menidia menidia	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	Menidia	Menidia menidia	best hit
ASV126	species	Gasterosteus wheatlandi	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus wheatlandi	best hit
ASV127	species	Lampanyctus australis	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampanyctus	Lampanyctus australis	best hit
ASV128	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV129	species	Semotilus atromaculatus	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Semotilus	Semotilus atromaculatus	best hit
ASV130	species	Ammodytes marinus	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes marinus	best hit
ASV131	species	Scomber scombrus	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	best hit
ASV132	species	Urophycis chuss	Eukaryota	Chordata	Actinopteri	Gadiformes	Phycidae	Urophycis	Urophycis chuss	best hit
ASV133	species	Notophthalmus viridescens	Eukaryota	Chordata	Amphibia	Caudata	Salamandridae	Notophthalmus	Notophthalmus viridescens	best hit
ASV134	species	Morone americana	Eukaryota	Chordata	Actinopteri	unknown order	Moronidae	Morone	Morone americana	best hit
ASV135	species	Osmerus mordax	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Osmerus	Osmerus mordax	best hit
ASV136	species	Osmerus mordax	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Osmerus	Osmerus mordax	best hit
ASV137	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV138	species	Brosme brosme	Eukaryota	Chordata	Actinopteri	Gadiformes	Lotidae	Brosme	Brosme brosme	best hit
ASV140	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV141	species	Myoxocephalus aenaeus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Myoxocephalus	Myoxocephalus aenaeus	best hit
ASV142	species	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis gunnellus	best hit
ASV143	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV144	species	Chrosomus neogaeus	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Chrosomus	Chrosomus neogaeus	best hit
ASV147	species	Dermochelys coriacea	Eukaryota	Chordata	unknown class	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea	best hit
ASV148	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV150	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV151	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV152	species	Lycodes nakamurae	Eukaryota	Chordata	Actinopteri	Perciformes	Zoarcidae	Lycodes	Lycodes nakamurae	best hit
ASV153	species	Tautogolabrus adspersus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus	best hit
ASV155	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV156	species	Micropterus dolomieu	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu	best hit
ASV157	species	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis gunnellus	best hit
ASV158	species	Tautogolabrus adspersus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus	best hit
ASV159	species	Leptoclinus maculatus	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Leptoclinus	Leptoclinus maculatus	best hit
ASV160	species	Gymnocanthus tricuspis	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Gymnocanthus	Gymnocanthus tricuspis	best hit
ASV161	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV162	species	Tautogolabrus adspersus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus	best hit
ASV163	species	Myzopsetta punctatissima	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Myzopsetta	Myzopsetta punctatissima	best hit
ASV164	species	Pungitius pungitius	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Pungitius	Pungitius pungitius	best hit
ASV165	genus	Liparis	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis	no identification	lca
ASV166	species	Melanogrammus aeglefinus	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Melanogrammus	Melanogrammus aeglefinus	best hit
ASV167	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV168	species	Megalocottus platycephalus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Megalocottus	Megalocottus platycephalus	best hit
ASV169	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV170	species	Fundulus diaphanus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus diaphanus	best hit
ASV171	species	Lampanyctus macdonaldi	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampanyctus	Lampanyctus macdonaldi	best hit
ASV172	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV173	species	Liparis fabricii	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis	Liparis fabricii	best hit
ASV174	species	Salvelinus fontinalis	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus fontinalis	best hit
ASV176	species	Apeltes quadracus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Apeltes	Apeltes quadracus	best hit
ASV179	species	Salvelinus fontinalis	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus fontinalis	best hit
ASV184	species	Scomber scombrus	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	best hit
ASV187	species	Salvelinus fontinalis	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus fontinalis	best hit
ASV188	species	Ammodytes cf. americanus	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes cf. americanus	best hit
ASV190	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV191	species	Salmo salar	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo salar	best hit
ASV192	species	Fundulus diaphanus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus diaphanus	best hit
ASV193	species	Artediellus ochotensis	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Artediellus	Artediellus ochotensis	best hit
ASV194	species	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis gunnellus	best hit
ASV195	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV196	species	Osmerus mordax	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Osmerus	Osmerus mordax	best hit
ASV197	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV198	species	Salmo salar	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo salar	best hit
ASV199	species	Auxis thazard	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard	best hit
ASV200	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV201	species	Scomber scombrus	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	best hit
ASV202	species	Fundulus heteroclitus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus heteroclitus	best hit
ASV203	species	Enchelyopus cimbrius	Eukaryota	Chordata	Actinopteri	Gadiformes	Gaidropsaridae	Enchelyopus	Enchelyopus cimbrius	best hit
ASV204	species	Microgadus tomcod	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Microgadus	Microgadus tomcod	best hit
ASV205	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV207	species	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis gunnellus	best hit
ASV208	species	Notoscopelus elongatus	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Notoscopelus	Notoscopelus elongatus	best hit
ASV211	species	Scophthalmus aquosus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Scophthalmidae	Scophthalmus	Scophthalmus aquosus	best hit
ASV213	species	Osmerus mordax	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Osmerus	Osmerus mordax	best hit
ASV214	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV215	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV216	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV219	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
