#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1	species	Sebastes mentella	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes mentella	best hit
ASV2	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV3	species	Osmerus mordax	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Osmerus	Osmerus mordax	best hit
ASV4	species	Tautogolabrus adspersus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus	best hit
ASV5	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV6	species	Salmo salar	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo salar	best hit
ASV7	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV8	species	Megalocottus platycephalus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Megalocottus	Megalocottus platycephalus	best hit
ASV9	species	Salvelinus fontinalis	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus fontinalis	best hit
ASV10	species	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis gunnellus	best hit
ASV11	species	Menidia menidia	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	Menidia	Menidia menidia	best hit
ASV12	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV13	species	Fundulus heteroclitus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus heteroclitus	best hit
ASV14	species	Anarhichas lupus	Eukaryota	Chordata	Actinopteri	Perciformes	Anarhichadidae	Anarhichas	Anarhichas lupus	best hit
ASV15	species	Scomber scombrus	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	best hit
ASV16	species	Syngnathus fuscus	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Syngnathidae	Syngnathus	Syngnathus fuscus	best hit
ASV17	species	Microgadus tomcod	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Microgadus	Microgadus tomcod	best hit
ASV18	species	Zoarces americanus	Eukaryota	Chordata	Actinopteri	Perciformes	Zoarcidae	Zoarces	Zoarces americanus	best hit
ASV19	species	Apeltes quadracus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Apeltes	Apeltes quadracus	best hit
ASV20	species	Urophycis chuss	Eukaryota	Chordata	Actinopteri	Gadiformes	Phycidae	Urophycis	Urophycis chuss	best hit
ASV21	species	Catostomus commersonii	Eukaryota	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus commersonii	best hit
ASV22	species	Scomber scombrus	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	best hit
ASV23	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV24	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV25	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV26	species	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis gunnellus	best hit
ASV27	species	Salmo trutta	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo trutta	best hit
ASV28	species	Phycis chesteri	Eukaryota	Chordata	Actinopteri	Gadiformes	Phycidae	Phycis	Phycis chesteri	best hit
ASV29	species	Ammodytes personatus	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes personatus	best hit
ASV30	species	Glyptocephalus cynoglossus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Glyptocephalus	Glyptocephalus cynoglossus	best hit
ASV31	species	Scomberesox saurus	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae	Scomberesox	Scomberesox saurus	best hit
