scientificName,phylum,class,order,family,genus,target_group,Genus,FBname,Length,LTypeMaxM,DemersPelag,DepthRangeShallow,DepthRangeDeep,BodyShapeI,AnaCat,Importance,MainCatchingMethod
Gadus morhua,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,fish,Gadus,Atlantic cod,200,TL,benthopelagic,0,600,fusiform / normal,oceanodromous,highly commercial,trawls
Myoxocephalus scorpius,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,fish,Myoxocephalus,Shorthorn sculpin,60,TL,demersal,0,451,fusiform / normal,NA,commercial,seines
Morone saxatilis,Chordata,Teleostei,Eupercaria incertae sedis,Moronidae,Morone,fish,Morone,Striped bass,200,TL,demersal,30,NA,fusiform / normal,anadromous,minor commercial,NA
Melanogrammus aeglefinus,Chordata,Teleostei,Gadiformes,Gadidae,Melanogrammus,fish,Melanogrammus,Haddock,112,TL,demersal,10,450,fusiform / normal,oceanodromous,highly commercial,trawls
Myoxocephalus octodecemspinosus,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,fish,Myoxocephalus,Longhorn sculpin,46,TL,demersal,1,190,elongated,NA,NA,NA
Merluccius bilinearis,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,fish,Merluccius,Silver hake,76,TL,demersal,55,914,elongated,oceanodromous,highly commercial,NA
Hippoglossoides platessoides,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides,fish,Hippoglossoides,American plaice,82.5999984741211,TL,demersal,10,3000,short and / or deep,oceanodromous,highly commercial,NA
Salmo salar,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo,fish,Salmo,Atlantic salmon,150,TL,benthopelagic,0,210,fusiform / normal,anadromous,highly commercial,seines
Clupea harengus,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,fish,Clupea,Atlantic herring,45,SL,benthopelagic,0,364,fusiform / normal,oceanodromous,highly commercial,seines
Myzopsetta ferruginea,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Myzopsetta,fish,Myzopsetta,Yellowtail flounder,64,TL,demersal,27,364,short and / or deep,NA,commercial,NA
Squalus acanthias,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,fish,Squalus,Picked dogfish,160,TL,bathydemersal,0,1978,elongated,oceanodromous,commercial,trawls
Pollachius virens,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,fish,Pollachius,Saithe,130,TL,demersal,37,364,fusiform / normal,oceanodromous,highly commercial,seines
Glyptocephalus cynoglossus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Glyptocephalus,fish,Glyptocephalus,Witch flounder,60,SL,demersal,18,1570,short and / or deep,oceanodromous,commercial,seines
Amblyraja radiata,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,fish,Amblyraja,Starry ray,105,TL,demersal,5,1540,other,oceanodromous,minor commercial,NA
Urophycis tenuis,Chordata,Teleostei,Gadiformes,Phycidae,Urophycis,fish,Urophycis,White hake,133,TL,demersal,100,1000,fusiform / normal,oceanodromous,highly commercial,gillnets
Pseudopleuronectes americanus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,fish,Pseudopleuronectes,Winter flounder,64,TL,demersal,5,143,short and / or deep,oceanodromous,commercial,seines
Urophycis chuss,Chordata,Teleostei,Gadiformes,Phycidae,Urophycis,fish,Urophycis,Red hake,66,TL,demersal,35,1152,elongated,oceanodromous,commercial,trawls
Leucoraja ocellata,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,fish,Leucoraja,Winter skate,113,TL,demersal,4,723,other,oceanodromous,NA,NA
Scomber scombrus,Chordata,Teleostei,Scombriformes,Scombridae,Scomber,fish,Scomber,Atlantic mackerel,60,FL,pelagic-neritic,0,1000,fusiform / normal,oceanodromous,highly commercial,seines
Leucoraja erinaceus,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,fish,Leucoraja,Little skate,62,TL,demersal,10,914,other,oceanodromous,NA,seines
Hemitripterus americanus,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus,fish,Hemitripterus,Sea raven,68,TL,demersal,2,180,elongated,NA,NA,NA
Alosa pseudoharengus,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,fish,Alosa,Alewife,40,SL,pelagic-neritic,5,145,fusiform / normal,anadromous,commercial,NA
Reinhardtius hippoglossoides,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Reinhardtius,fish,Reinhardtius,Greenland halibut,110,TL,benthopelagic,1,2200,fusiform / normal,oceanodromous,highly commercial,hooks and lines
Xiphias gladius,Chordata,Teleostei,Carangiformes,Xiphiidae,Xiphias,fish,Xiphias,Swordfish,455,FL,pelagic-oceanic,0,2878,elongated,oceanodromous,commercial,hooks and lines
Ammodytes dubius,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,fish,Ammodytes,Northern sand lance,25,TL,demersal,0,108,elongated,NA,of potential interest,trawls
Thunnus albacares,Chordata,Teleostei,Scombriformes,Scombridae,Thunnus,fish,Thunnus,Yellowfin tuna,239,FL,pelagic-oceanic,1,1602,fusiform / normal,oceanodromous,highly commercial,seines
Malacoraja senta,Chordata,Elasmobranchii,Rajiformes,Rajidae,Malacoraja,fish,Malacoraja,Smooth skate,71,TL,bathydemersal,25,1436,other,oceanodromous,of no interest,NA
Lophius americanus,Chordata,Teleostei,Lophiiformes,Lophiidae,Lophius,fish,Lophius,American angler,120,TL,demersal,0,800,fusiform / normal,oceanodromous,highly commercial,trawls
Phycis chesteri,Chordata,Teleostei,Gadiformes,Phycidae,Phycis,fish,Phycis,Longfin hake,42,NG,benthopelagic,90,1500,elongated,non-migratory,of potential interest,trawls
Scophthalmus aquosus,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,fish,Scophthalmus,Windowpane flounder,45.70000076293945,TL,demersal,55,73,short and / or deep,NA,commercial,NA
Mallotus villosus,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,fish,Mallotus,Capelin,20,TL,pelagic-oceanic,0,725,elongated,anadromous,highly commercial,seines
Anarhichas lupus,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,fish,Anarhichas,Atlantic wolffish,150,TL,demersal,1,600,elongated,oceanodromous,highly commercial,trawls
Zoarces americanus,Chordata,Teleostei,Perciformes,Zoarcidae,Zoarces,fish,Zoarces,Ocean pout,110,TL,demersal,0,388,elongated,oceanodromous,commercial,seines
Anguilla rostrata,Chordata,Teleostei,Anguilliformes,Anguillidae,Anguilla,fish,Anguilla,American eel,152,TL,demersal,0,464,eel-like,catadromous,commercial,seines
Thunnus obesus,Chordata,Teleostei,Scombriformes,Scombridae,Thunnus,fish,Thunnus,Bigeye tuna,250,TL,pelagic-oceanic,0,1500,fusiform / normal,oceanodromous,highly commercial,hooks and lines
Hippoglossus hippoglossus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus,fish,Hippoglossus,Atlantic halibut,470,TL,demersal,50,2000,fusiform / normal,oceanodromous,commercial,hooks and lines
Argentina silus,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina,fish,Argentina,Greater argentine,70,SL,bathypelagic,55,1440,elongated,oceanodromous,commercial,seines
Prionace glauca,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,fish,Prionace,Blue shark,400,TL,pelagic-oceanic,0,1082,fusiform / normal,oceanodromous,minor commercial,various gears
Nezumia bairdii,Chordata,Teleostei,Gadiformes,Macrouridae,Nezumia,fish,Nezumia,Marlin-spike grenadier,40,TL,benthopelagic,16,1000,elongated,non-migratory,minor commercial,trawls
Enchelyopus cimbrius,Chordata,Teleostei,Gadiformes,Lotidae,Enchelyopus,fish,Enchelyopus,Fourbeard rockling,41,TL,demersal,20,650,elongated,oceanodromous,minor commercial,trawls
Peprilus triacanthus,Chordata,Teleostei,Scombriformes,Stromateidae,Peprilus,fish,Peprilus,Atlantic butterfish,30,TL,benthopelagic,15,420,fusiform / normal,oceanodromous,commercial,trawls
Triglops murrayi,Chordata,Teleostei,Perciformes,Cottidae,Triglops,fish,Triglops,Moustache sculpin,20,SL,demersal,7,530,elongated,non-migratory,of no interest,NA
Aspidophoroides monopterygius,Chordata,Teleostei,Perciformes,Agonidae,Aspidophoroides,fish,Aspidophoroides,Alligatorfish,22,TL,demersal,0,695,elongated,NA,NA,NA
Helicolenus dactylopterus,Chordata,Teleostei,Perciformes,Sebastidae,Helicolenus,fish,Helicolenus,Blackbelly rosefish,50,TL,bathydemersal,50,1100,fusiform / normal,NA,commercial,trawls
Hippoglossina oblonga,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Hippoglossina,fish,Hippoglossina,American fourspot flounder,49,TL,demersal,NA,311,short and / or deep,NA,commercial,NA
Thunnus alalunga,Chordata,Teleostei,Scombriformes,Scombridae,Thunnus,fish,Thunnus,Albacore,140,FL,pelagic-oceanic,0,600,fusiform / normal,oceanodromous,highly commercial,seines
Lycodes vahlii,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,fish,Lycodes,Vahl's eelpout,52,TL,bathydemersal,39,1200,eel-like,NA,subsistence fisheries,NA
Coryphaena hippurus,Chordata,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,fish,Coryphaena,Common dolphinfish,210,TL,pelagic-neritic,0,85,elongated,oceanodromous,highly commercial,various gears
Centroscyllium fabricii,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Centroscyllium,fish,Centroscyllium,Black dogfish,107,TL,bathydemersal,NA,NA,elongated,NA,subsistence fisheries,trawls
Leptoclinus maculatus,Chordata,Teleostei,Perciformes,Stichaeidae,Leptoclinus,fish,Leptoclinus,Daubed shanny,20,TL,demersal,2,607,elongated,NA,NA,NA
Cyclopterus lumpus,Chordata,Teleostei,Perciformes,Cyclopteridae,Cyclopterus,fish,Cyclopterus,Lumpfish,61,TL,benthopelagic,0,868,short and / or deep,oceanodromous,highly commercial,seines
Citharichthys arctifrons,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,fish,Citharichthys,Gulf Stream flounder,18,TL,demersal,46,366,fusiform / normal,NA,NA,NA
Brosme brosme,Chordata,Teleostei,Gadiformes,Lotidae,Brosme,fish,Brosme,Cusk,120,TL,demersal,18,1000,elongated,oceanodromous,highly commercial,seines
Lumpenus lampretaeformis,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenus,fish,Lumpenus,Snakeblenny,50,TL,demersal,30,373,eel-like,non-migratory,of no interest,seines
Leptagonus decagonus,Chordata,Teleostei,Perciformes,Agonidae,Leptagonus,fish,Leptagonus,Atlantic poacher,21,TL,demersal,0,930,elongated,NA,NA,NA
Lycodes reticulatus,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,fish,Lycodes,Arctic eelpout,36,TL,bathydemersal,18,930,elongated,NA,NA,trawls
Boreogadus saida,Chordata,Teleostei,Gadiformes,Gadidae,Boreogadus,fish,Boreogadus,Polar cod,40,TL,demersal,0,1383,elongated,oceanodromous,highly commercial,trawls
Sebastes fasciatus,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,fish,Sebastes,Acadian redfish,47,TL,demersal,70,592,fusiform / normal,NA,NA,NA
Alosa sapidissima,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,fish,Alosa,American shad,76,TL,pelagic-neritic,0,250,fusiform / normal,anadromous,commercial,various gears
Mola mola,Chordata,Teleostei,Tetraodontiformes,Molidae,Mola,fish,Mola,Ocean sunfish,333,TL,pelagic-oceanic,30,1515,short and / or deep,oceanodromous,minor commercial,seines
Sebastes mentella,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,fish,Sebastes,Beaked redfish,77.5,TL,bathypelagic,300,1441,fusiform / normal,oceanodromous,commercial,seines
Tautogolabrus adspersus,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Tautogolabrus,fish,Tautogolabrus,Cunner,44,TL,reef-associated,10,128,fusiform / normal,NA,commercial,seines
Rhinoptera bonasus,Chordata,Elasmobranchii,Myliobatiformes,Rhinopteridae,Rhinoptera,fish,Rhinoptera,Cownose ray,120,WD,benthopelagic,0,22,other,oceanodromous,minor commercial,NA
Paralichthys dentatus,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys,fish,Paralichthys,Summer flounder,94,TL,demersal,10,183,short and / or deep,oceanodromous,commercial,NA
Urophycis regia,Chordata,Teleostei,Gadiformes,Phycidae,Urophycis,fish,Urophycis,Spotted codling,43,TL,demersal,0,494,fusiform / normal,non-migratory,minor commercial,trawls
Arctozenus risso,Chordata,Teleostei,Aulopiformes,Paralepididae,Arctozenus,fish,Arctozenus,Spotted barracudina,30,SL,bathypelagic,0,2200,elongated,NA,of no interest,NA
Cetorhinus maximus,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,fish,Cetorhinus,Basking shark,1520,TL,pelagic-oceanic,0,2000,elongated,oceanodromous,commercial,other
Alosa aestivalis,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,fish,Alosa,Blueback shad,40,SL,pelagic-neritic,5,55,fusiform / normal,anadromous,commercial,NA
Osmerus mordax,Chordata,Teleostei,Osmeriformes,Osmeridae,Osmerus,fish,Osmerus,Rainbow smelt,35.599998474121094,TL,pelagic-oceanic,0,425,elongated,anadromous,commercial,trawls
Eumicrotremus spinosus,Chordata,Teleostei,Perciformes,Cyclopteridae,Eumicrotremus,fish,Eumicrotremus,Atlantic spiny lumpsucker,13.199999809265137,NG,demersal,30,400,short and / or deep,NA,NA,NA
Menidia menidia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Menidia,fish,Menidia,Atlantic silverside,15,TL,pelagic-neritic,0,3,elongated,oceanodromous,minor commercial,NA
Gasterosteus aculeatus,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,fish,Gasterosteus,Three-spined stickleback,11,TL,benthopelagic,0,100,fusiform / normal,anadromous,minor commercial, 
Macrourus berglax,Chordata,Teleostei,Gadiformes,Macrouridae,Macrourus,fish,Macrourus,Roughhead grenadier,110,TL,benthopelagic,100,1000,elongated,non-migratory,commercial,trawls
Fundulus heteroclitus,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus,fish,Fundulus,Mummichog,15,TL,benthopelagic,NA,NA,fusiform / normal,non-migratory,commercial, 
Prionotus carolinus,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,fish,Prionotus,Northern searobin,38,TL,demersal,15,170,elongated,NA,minor commercial,trawls
Anarhichas denticulatus,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,fish,Anarhichas,Northern wolffish,180,TL,benthopelagic,60,1700,elongated,oceanodromous,of no interest,seines
Stenotomus chrysops,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Stenotomus,fish,Stenotomus,Scup,46,TL,demersal,15,NA,short and / or deep,oceanodromous,commercial,NA
Apeltes quadracus,Chordata,Teleostei,Perciformes,Gasterosteidae,Apeltes,fish,Apeltes,Fourspine stickleback,6.400000095367432,TL,benthopelagic,0,3,fusiform / normal,NA,commercial,seines
Synaphobranchus kaupii,Chordata,Teleostei,Anguilliformes,Synaphobranchidae,Synaphobranchus,fish,Synaphobranchus,Kaup's arrowtooth eel,100,TL,bathydemersal,120,4800,eel-like,NA,of no interest,NA
Anarhichas minor,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,fish,Anarhichas,Spotted wolffish,180,TL,demersal,25,600,elongated,oceanodromous,minor commercial,seines
Merluccius albidus,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,fish,Merluccius,Offshore silver hake,40.599998474121094,TL,bathydemersal,80,1170,fusiform / normal,non-migratory,minor commercial,trawls
Thunnus thynnus,Chordata,Teleostei,Scombriformes,Scombridae,Thunnus,fish,Thunnus,Atlantic bluefin tuna,458,TL,pelagic-oceanic,0,985,fusiform / normal,oceanodromous,commercial,seines
Artediellus uncinatus,Chordata,Teleostei,Perciformes,Cottidae,Artediellus,fish,Artediellus,Arctic hookear sculpin,10,TL,demersal,13,598,fusiform / normal,NA,NA,NA
Salvelinus fontinalis,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,fish,Salvelinus,Brook trout,86,SL,benthopelagic,15,27,fusiform / normal,anadromous,minor commercial,NA
Dipturus laevis,Chordata,Elasmobranchii,Rajiformes,Rajidae,Dipturus,fish,Dipturus,Barndoor skate,163,TL,demersal,0,750,other,oceanodromous,of no interest,NA
Stomias boa,Chordata,Teleostei,Stomiiformes,Stomiidae,Stomias,fish,Stomias,Boa dragonfish,32.20000076293945,SL,bathypelagic,200,2173,elongated,NA,NA,NA
Thunnus orientalis,Chordata,Teleostei,Scombriformes,Scombridae,Thunnus,fish,Thunnus,Pacific bluefin tuna,300,FL,pelagic-oceanic,1,550,fusiform / normal,oceanodromous,highly commercial,various gears
Mustelus canis,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,fish,Mustelus,Dusky smooth-hound,150,TL,demersal,0,800,elongated,oceanodromous,commercial,seines
Melanostigma atlanticum,Chordata,Teleostei,Perciformes,Zoarcidae,Melanostigma,fish,Melanostigma,Atlantic soft pout,15,TL,bathypelagic,400,1853,elongated,NA,NA,NA
Eumesogrammus praecisus,Chordata,Teleostei,Perciformes,Stichaeidae,Eumesogrammus,fish,Eumesogrammus,Fourline snakeblenny,22,TL,benthopelagic,5,400,elongated,NA,NA,NA
Lycodes lavalaei,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,fish,Lycodes,Newfoundland eelpout,56,TL,demersal,24,535,elongated,NA,NA,NA
Gasterosteus wheatlandi,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,fish,Gasterosteus,Blackspotted stickleback,7.599999904632568,TL,benthopelagic,NA,NA,fusiform / normal,NA,NA,NA
Artediellus atlanticus,Chordata,Teleostei,Perciformes,Cottidae,Artediellus,fish,Artediellus,Atlantic hookear sculpin,15,SL,demersal,35,900,elongated,NA,NA,NA
Centropristis striata,Chordata,Teleostei,Perciformes,Serranidae,Centropristis,fish,Centropristis,Black seabass,66,TL,reef-associated,1,NA,fusiform / normal,oceanodromous,commercial,NA
Coryphaenoides rupestris,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,fish,Coryphaenoides,Roundnose grenadier,110,TL,bathypelagic,180,2600,elongated,NA,commercial,trawls
Lepophidium profundorum,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Lepophidium,fish,Lepophidium,Blackrim cusk-eel,28,TL,demersal,29,399,elongated,NA,NA,NA
Gymnelus viridis,Chordata,Teleostei,Perciformes,Zoarcidae,Gymnelus,fish,Gymnelus,Fish doctor,56,TL,demersal,0,320,elongated,NA,NA,NA
Microgadus tomcod,Chordata,Teleostei,Gadiformes,Gadidae,Microgadus,fish,Microgadus,Atlantic tomcod,38.099998474121094,TL,demersal,0,69,elongated,anadromous,minor commercial,NA
Icelus spatula,Chordata,Teleostei,Perciformes,Cottidae,Icelus,fish,Icelus,Spatulate sculpin,21,TL,demersal,12,930,elongated,NA,NA,NA
Ulvaria subbifurcata,Chordata,Teleostei,Perciformes,Stichaeidae,Ulvaria,fish,Ulvaria,Radiated shanny,18,TL,benthopelagic,NA,NA,elongated,NA,NA,seines
Liopsetta putnami,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Liopsetta,fish,Liopsetta,American smooth flounder,27,TL,demersal,1,27,short and / or deep,NA,commercial,NA
Pomatomus saltatrix,Chordata,Teleostei,Scombriformes,Pomatomidae,Pomatomus,fish,Pomatomus,Bluefish,130,TL,pelagic-oceanic,0,200,fusiform / normal,oceanodromous,highly commercial,seines
Pungitius pungitius,Chordata,Teleostei,Perciformes,Gasterosteidae,Pungitius,fish,Pungitius,Ninespine stickleback,9,TL,benthopelagic,0,110,elongated,anadromous,subsistence fisheries,NA
Coregonus huntsmani,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,fish,Coregonus,Atlantic whitefish,40,TL,pelagic-neritic,NA,NA,elongated,anadromous,NA,NA
Gymnocanthus tricuspis,Chordata,Teleostei,Perciformes,Cottidae,Gymnocanthus,fish,Gymnocanthus,Arctic staghorn sculpin,30,TL,demersal,0,556,elongated,NA,NA,NA
Benthosema glaciale,Chordata,Teleostei,Myctophiformes,Myctophidae,Benthosema,fish,Benthosema,Glacier lantern fish,10.300000190734863,SL,pelagic-oceanic,0,1407,fusiform / normal,non-migratory,of potential interest,seines
Cryptacanthodes maculatus,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,fish,Cryptacanthodes,Wrymouth,97,TL,demersal,1,110,eel-like,NA,NA,NA
Lamna nasus,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,fish,Lamna,Porbeagle,350,TL,pelagic-oceanic,0,1360,fusiform / normal,oceanodromous,commercial,seines
Chauliodus sloani,Chordata,Teleostei,Stomiiformes,Stomiidae,Chauliodus,fish,Chauliodus,Sloane's viperfish,35,SL,bathypelagic,200,4700,elongated,NA,NA,NA
Nemichthys scolopaceus,Chordata,Teleostei,Anguilliformes,Nemichthyidae,Nemichthys,fish,Nemichthys,Slender snipe eel,130,TL,bathypelagic,0,4337,eel-like,NA,of no interest,NA
Myoxocephalus aenaeus,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,fish,Myoxocephalus,Grubby,18,TL,demersal,1,357,fusiform / normal,NA,NA,NA
Antimora rostrata,Chordata,Teleostei,Gadiformes,Moridae,Antimora,fish,Antimora,Blue antimora,75,SL,bathypelagic,350,3000,elongated,NA,commercial,NA
Chlorophthalmus agassizi,Chordata,Teleostei,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,fish,Chlorophthalmus,Shortnose greeneye,40,TL,bathydemersal,50,1000,elongated,NA,minor commercial,NA
Prionotus evolans,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,fish,Prionotus,Striped searobin,45,TL,reef-associated,9,180,fusiform / normal,NA,minor commercial,trawls
Cottunculus microps,Chordata,Teleostei,Perciformes,Psychrolutidae,Cottunculus,fish,Cottunculus,Polar sculpin,30,SL,bathydemersal,165,1342,elongated,NA,of no interest,NA
Syngnathus fuscus,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Syngnathus,fish,Syngnathus,Northern pipefish,33,TL,demersal,5,49,eel-like,amphidromous,NA,NA
Pholis gunnellus,Chordata,Teleostei,Perciformes,Pholidae,Pholis,fish,Pholis,Rock gunnel,25,SL,demersal,0,100,eel-like,non-migratory,of no interest,seines
Gadus macrocephalus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,fish,Gadus,Pacific cod,119,TL,demersal,10,1280,fusiform / normal,oceanodromous,highly commercial,trawls
Rostroraja eglanteria,Chordata,Elasmobranchii,Rajiformes,Rajidae,Rostroraja,fish,Rostroraja,Clearnose skate,84,TL,demersal,0,330,other,oceanodromous,minor commercial,trawls
Ceratoscopelus maderensis,Chordata,Teleostei,Myctophiformes,Myctophidae,Ceratoscopelus,fish,Ceratoscopelus,Madeira lantern fish,8.899999618530273,TL,bathypelagic,51,1480,elongated,oceanodromous,NA,NA
Liparis fabricii,Chordata,Teleostei,Perciformes,Liparidae,Liparis,fish,Liparis,Gelatinous snailfish,21,TL,bathydemersal,6,1880,fusiform / normal,NA,NA,NA
Liparis gibbus,Chordata,Teleostei,Perciformes,Liparidae,Liparis,fish,Liparis,Variegated snailfish,52,TL,demersal,0,647,fusiform / normal,NA,NA,NA
Serrivomer beanii,Chordata,Teleostei,Anguilliformes,Serrivomeridae,Serrivomer,fish,Serrivomer,Stout sawpalate,78,TL,bathypelagic,0,6000,eel-like,NA,of no interest,NA
Cynoscion regalis,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cynoscion,fish,Cynoscion,Squeteague,98,TL,demersal,10,26,fusiform / normal,oceanodromous,commercial,gillnets
Sebastes norvegicus,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,fish,Sebastes,Golden redfish,100,TL,pelagic-oceanic,100,1000,short and / or deep,oceanodromous,highly commercial,trawls
Lampanyctus pusillus,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,fish,Lampanyctus,Pygmy lanternfish,4.300000190734863,SL,bathypelagic,40,850,elongated,oceanodromous,NA,NA
Anchoa mitchilli,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,fish,Anchoa,Bay anchovy,10,SL,pelagic-neritic,1,70,elongated,amphidromous,minor commercial,seines
Isurus oxyrinchus,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Isurus,fish,Isurus,Shortfin mako,445,TL,pelagic-oceanic,0,888,fusiform / normal,oceanodromous,minor commercial,various gears
Fundulus diaphanus,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus,fish,Fundulus,Banded killifish,13,TL,benthopelagic,NA,NA,fusiform / normal,non-migratory,commercial,NA
Bathyraja spinicauda,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,fish,Bathyraja,Spinytail skate,170,TL,bathypelagic,111,2949,other,NA,of no interest,NA
Scomberesox saurus,Chordata,Teleostei,Beloniformes,Scomberesocidae,Scomberesox,fish,Scomberesox,Atlantic saury,50,TL,pelagic-oceanic,0,30,elongated,oceanodromous,minor commercial,seines
Maurolicus muelleri,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Maurolicus,fish,Maurolicus,Silvery lightfish,8,TL,bathypelagic,271,1524,elongated,NA,minor commercial,trawls
Lepidocybium flavobrunneum,Chordata,Teleostei,Scombriformes,Gempylidae,Lepidocybium,fish,Lepidocybium,Escolar,200,SL,benthopelagic,200,1100,fusiform / normal,oceanodromous,minor commercial,hooks and lines
Hygophum hygomii,Chordata,Teleostei,Myctophiformes,Myctophidae,Hygophum,fish,Hygophum,Bermuda lantern fish,8.100000381469727,TL,bathypelagic,0,1485,fusiform / normal,oceanodromous,NA,NA
Liparis atlanticus,Chordata,Teleostei,Perciformes,Liparidae,Liparis,fish,Liparis,Atlantic seasnail,13,TL,demersal,0,415,elongated,NA,NA,NA
Zenopsis conchifer,Chordata,Teleostei,Zeiformes,Zeidae,Zenopsis,fish,Zenopsis,Silvery John dory,80,TL,benthopelagic,50,600,short and / or deep, ,commercial,trawls
Argyropelecus aculeatus,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,fish,Argyropelecus,Lovely hatchetfish,8.300000190734863,SL,bathypelagic,100,2056,short and / or deep,NA,of no interest,NA
Sternoptyx diaphana,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Sternoptyx,fish,Sternoptyx,Diaphanous hatchet fish,5.5,SL,bathypelagic,400,3676,short and / or deep,oceanodromous,of no interest,NA
Sigmops elongatus,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Sigmops,fish,Sigmops,Elongated bristlemouth fish,27.5,TL,bathypelagic,25,4740,elongated,NA,of no interest,NA
Aspidophoroides olrikii,Chordata,Teleostei,Perciformes,Agonidae,Aspidophoroides,fish,Aspidophoroides,Arctic alligatorfish,8.600000381469727,TL,demersal,0,632,elongated,NA,NA,NA
Leucoraja garmani,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,fish,Leucoraja,Rosette skate,57,TL,bathydemersal,33,530,other,oceanodromous,minor commercial,trawls
Acanthocybium solandri,Chordata,Teleostei,Scombriformes,Scombridae,Acanthocybium,fish,Acanthocybium,Wahoo,250,TL,pelagic-oceanic,0,20,elongated,oceanodromous,commercial,seines
Etrumeus sadina,Chordata,Teleostei,Clupeiformes,Dussumieriidae,Etrumeus,fish,Etrumeus,Red-eye round herring,33,TL,pelagic-neritic,0,125,elongated,oceanodromous,highly commercial,seines
