scientificName,phylum,class,order,family,genus,target_group,Genus,FBname,Length,LTypeMaxM,DemersPelag,DepthRangeShallow,DepthRangeDeep,BodyShapeI,AnaCat,Importance,MainCatchingMethod
Parophidion schmidti,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Parophidion,fish,Parophidion,Dusky cusk-eel,10,TL,demersal,NA,NA,elongated,NA,of no interest,NA
Bothus maculiferus,Chordata,Teleostei,Pleuronectiformes,Bothidae,Bothus,fish,Bothus,Mottled flounder,25,TL,demersal,NA,NA,short and / or deep,NA,minor commercial,NA
Sebastes paucispinis,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,fish,Sebastes,Bocaccio rockfish,91,TL,reef-associated,0,476,fusiform / normal,NA,minor commercial,trawls
Caulolatilus bermudensis,Chordata,Teleostei,Eupercaria incertae sedis,Malacanthidae,Caulolatilus,fish,Caulolatilus,Bermuda tilefish,40.70000076293945,TL,bathydemersal,100,366,fusiform / normal,NA,NA,NA
Dorosoma petenense,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Dorosoma,fish,Dorosoma,Threadfin shad,33,TL,pelagic-neritic,0,15,fusiform / normal,anadromous,minor commercial,NA
Patagonotothen tessellata,Chordata,Teleostei,Perciformes,Nototheniidae,Patagonotothen,fish,Patagonotothen,Black southern cod,28,TL,benthopelagic,NA,NA,fusiform / normal,NA,NA,NA
Hypomesus transpacificus,Chordata,Teleostei,Osmeriformes,Osmeridae,Hypomesus,fish,Hypomesus,Delta smelt,12,TL,pelagic,NA,NA,elongated,anadromous,NA,NA
Monopterus cuchia,Chordata,Teleostei,Synbranchiformes,Synbranchidae,Monopterus,fish,Monopterus,Cuchia,79.69999694824219,TL,demersal,NA,NA,eel-like,NA,commercial,NA
Phyllopteryx taeniolatus,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Phyllopteryx,fish,Phyllopteryx,Common seadragon,46,TL,reef-associated,0,50,other,NA,NA,trawls
Strongylura notata,Chordata,Teleostei,Beloniformes,Belonidae,Strongylura,fish,Strongylura,Redfin needlefish,61,TL,reef-associated,0,NA,elongated,NA,NA,NA
Larus argentatus,Chordata,Aves,Charadriiformes,Laridae,Larus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puffinus gravis,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larus marinus,Chordata,Aves,Charadriiformes,Laridae,Larus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fulmarus glacialis,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megaptera novaeangliae,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rissa tridactyla,Chordata,Aves,Charadriiformes,Laridae,Rissa,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balaenoptera physalus,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanites oceanicus,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanites,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phocoena phocoena,Chordata,Mammalia,Cetartiodactyla,Phocoenidae,Phocoena,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alle alle,Chordata,Aves,Charadriiformes,Alcidae,Alle,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcidae,Chordata,Aves,Charadriiformes,Alcidae,NA,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanodroma leucorhoa,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balaenoptera acutorostrata,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delphinus delphis,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Delphinus,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gavia immer,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fratercula arctica,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoca vitulina,Chordata,Mammalia,Carnivora,Phocidae,Phoca,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delphinidae,Chordata,Mammalia,Cetartiodactyla,Delphinidae,NA,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calonectris diomedea,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puffinus griseus,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larus atricilla,Chordata,Aves,Charadriiformes,Laridae,Larus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uria,Chordata,Aves,Charadriiformes,Alcidae,Uria,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gavia stellata,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanodroma,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna,Chordata,Aves,Charadriiformes,Laridae,Sterna,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alca torda,Chordata,Aves,Charadriiformes,Alcidae,Alca,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larus philadelphia,Chordata,Aves,Charadriiformes,Laridae,Larus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna hirundo,Chordata,Aves,Charadriiformes,Laridae,Sterna,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uria aalge,Chordata,Aves,Charadriiformes,Alcidae,Uria,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucopleurus acutus,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Leucopleurus,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uria lomvia,Chordata,Aves,Charadriiformes,Alcidae,Uria,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gavia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Globicephala melas,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tursiops truncatus,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Tursiops,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balaenoptera borealis,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halichoerus grypus,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grampus griseus,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Grampus,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlidonias niger,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
