#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV44	species	Hippoglossus hippoglossus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossus	Hippoglossus hippoglossus	best hit
ASV45	species	Sebastes mentella	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes mentella	best hit
ASV46	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV47	species	Catostomus commersonii	Eukaryota	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus commersonii	best hit
ASV48	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV49	species	Sebastes mentella	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes mentella	best hit
ASV50	species	Bos taurus	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	best hit
ASV51	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV52	species	Liparis gibbus	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis	Liparis gibbus	best hit
ASV53	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV54	species	Fundulus heteroclitus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus heteroclitus	best hit
ASV55	species	Tautogolabrus adspersus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus	best hit
ASV56	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV57	species	Menidia beryllina	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	Menidia	Menidia beryllina	best hit
ASV58	species	Salmo salar	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo salar	best hit
ASV59	species	Eumesogrammus praecisus	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Eumesogrammus	Eumesogrammus praecisus	best hit
ASV60	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV61	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV62	species	Osmerus mordax	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Osmerus	Osmerus mordax	best hit
ASV63	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV64	species	Menidia menidia	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	Menidia	Menidia menidia	best hit
ASV65	species	Liparis miostomus	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis	Liparis miostomus	best hit
ASV66	species	Lophius americanus	Eukaryota	Chordata	Actinopteri	Lophiiformes	Lophiidae	Lophius	Lophius americanus	best hit
ASV67	species	Artediellus atlanticus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Artediellus	Artediellus atlanticus	best hit
ASV68	species	Scomberesox saurus	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae	Scomberesox	Scomberesox saurus	best hit
ASV69	species	Oncorhynchus mykiss	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus mykiss	best hit
ASV70	species	Mola mola	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Molidae	Mola	Mola mola	best hit
ASV71	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV72	species	Liparis inquilinus	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis	Liparis inquilinus	best hit
ASV73	species	Lumpenus lampretaeformis	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Lumpenus	Lumpenus lampretaeformis	best hit
