"","ASV_12S","#lca rank_12S","#lca taxon","#kingdom_12S","#phylum_12S","#class_12S","#order_12S","#family_12S","#genus_12S","#species_12S","#method_12S","tax_status_12S","family_12S","genus_12S","FBname_12S","DemersPelag_12S","AnaCat_12S","Importance_12S","marker_12S","ASV_16S","#lca rank_16S","#kingdom_16S","#phylum_16S","#class_16S","#order_16S","#family_16S","#genus_16S","#species_16S","#method_16S","tax_status_16S","family_16S","genus_16S","FBname_16S","DemersPelag_16S","AnaCat_16S","Importance_16S","marker_16S","marker"
"56","ASV93","species","Semotilus atromaculatus","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Semotilus","Semotilus atromaculatus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"ASV118","species","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Semotilus","Semotilus atromaculatus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"both"
"57","ASV98","species","Peprilus triacanthus","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus triacanthus","best hit","Has data","Stromateidae","Peprilus","Atlantic butterfish","benthopelagic","oceanodromous","commercial",TRUE,"ASV59","species","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus triacanthus","best hit","Has data","Stromateidae","Peprilus","Atlantic butterfish","benthopelagic","oceanodromous","commercial",TRUE,"both"
"58","ASV104","species","Notoscopelus elongatus","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus elongatus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"ASV95","species","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus elongatus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"both"
"59","ASV117","species","Brosme brosme","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Brosme","Brosme brosme","best hit","Has data","Lotidae","Brosme","Cusk","demersal","oceanodromous","highly commercial",TRUE,"ASV71","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Brosme","Brosme brosme","best hit","Has data","Lotidae","Brosme","Cusk","demersal","oceanodromous","highly commercial",TRUE,"both"
"60","ASV119","species","Urophycis tenuis","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis tenuis","best hit","Has data","Phycidae","Urophycis","White hake","demersal","oceanodromous","highly commercial",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"61","ASV124","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Has data","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial",TRUE,"ASV61","species","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Has data","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial",TRUE,"both"
"62","ASV125","species","Brevoortia tyrannus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","best hit","Has data","Alosidae","Brevoortia","Atlantic menhaden","pelagic-neritic","oceanodromous","highly commercial",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"63","ASV126","species","Artediellus uncinatus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Artediellus","Artediellus uncinatus","best hit","Has data","Cottidae","Artediellus","Arctic hookear sculpin","demersal",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"64","ASV131","species","Lycodes vahlii","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii","best hit","Has data","Zoarcidae","Lycodes","Vahl's eelpout","bathydemersal",NA,"subsistence fisheries",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"65","ASV134","species","Phycis chesteri","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Phycis","Phycis chesteri","best hit","Has data","Phycidae","Phycis","Longfin hake","benthopelagic","non-migratory","of potential interest",TRUE,"ASV28","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Phycis","Phycis chesteri","best hit","Has data","Phycidae","Phycis","Longfin hake","benthopelagic","non-migratory","of potential interest",TRUE,"both"
"66","ASV153","species","Chrosomus neogaeus","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Chrosomus","Chrosomus neogaeus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"ASV144","species","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Chrosomus","Chrosomus neogaeus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"both"
"67","ASV154","species","Hippoglossina oblonga","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga","best hit","Has data","Paralichthyidae","Hippoglossina","American fourspot flounder","demersal",NA,"commercial",TRUE,"ASV113","species","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga","best hit","Has data","Paralichthyidae","Hippoglossina","American fourspot flounder","demersal",NA,"commercial",TRUE,"both"
"68","ASV156","species","Gymnocanthus tricuspis","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis","best hit","Has data","Cottidae","Gymnocanthus","Arctic staghorn sculpin","demersal",NA,NA,TRUE,"ASV160","species","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis","best hit","Has data","Cottidae","Gymnocanthus","Arctic staghorn sculpin","demersal",NA,NA,TRUE,"both"
"69","ASV162","species","Xiphister atropurpureus","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Xiphister","Xiphister atropurpureus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"70","ASV181","species","Gasterosteus wheatlandi","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus wheatlandi","best hit","Has data","Gasterosteidae","Gasterosteus","Blackspotted stickleback","benthopelagic",NA,NA,TRUE,"ASV126","species","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus wheatlandi","best hit","Has data","Gasterosteidae","Gasterosteus","Blackspotted stickleback","benthopelagic",NA,NA,TRUE,"both"
"71","ASV208","species","Zoarces americanus","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Zoarces","Zoarces americanus","best hit","Has data","Zoarcidae","Zoarces","Ocean pout","demersal","oceanodromous","commercial",TRUE,"ASV18","species","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Zoarces","Zoarces americanus","best hit","Has data","Zoarcidae","Zoarces","Ocean pout","demersal","oceanodromous","commercial",TRUE,"both"
"72","ASV212","species","Merluccius albidus","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus","best hit","Has data","Merlucciidae","Merluccius","Offshore silver hake","bathydemersal","non-migratory","minor commercial",TRUE,"ASV104","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus","best hit","Has data","Merlucciidae","Merluccius","Offshore silver hake","bathydemersal","non-migratory","minor commercial",TRUE,"both"
"73","ASV228","species","Auxis rochei","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Auxis","Auxis rochei","best hit","Has data","Scombridae","Auxis","Bullet tuna","pelagic-neritic","oceanodromous","highly commercial",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"74","ASV262","species","Stichaeus punctatus","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus","best hit","Has data","Stichaeidae","Stichaeus","Arctic shanny","demersal",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"75","ASV319","genus","Gadus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"76","ASV331","genus","Pholis","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"77","ASV361","genus","Salvelinus","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"78","ASV376","species","Clupea pallasii","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"79","ASV379","family","Osmeridae","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"80","ASV435","genus","Anarhichas","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"ASV452","genus","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"both"
"81","ASV439","species","Scophthalmus aquosus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","best hit","Has data","Scophthalmidae","Scophthalmus","Windowpane flounder","demersal",NA,"commercial",TRUE,"ASV211","species","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","best hit","Has data","Scophthalmidae","Scophthalmus","Windowpane flounder","demersal",NA,"commercial",TRUE,"both"
"82","ASV449","species","Squalus acanthias","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias","best hit","Has data","Squalidae","Squalus","Picked dogfish","bathydemersal","oceanodromous","commercial",TRUE,"ASV72","species","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias","best hit","Has data","Squalidae","Squalus","Picked dogfish","bathydemersal","oceanodromous","commercial",TRUE,"both"
"83","ASV453","genus","Myoxocephalus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"84","ASV474","genus","Ammodytes","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"ASV577","genus","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"both"
"85","ASV498","genus","Sebastes","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"86","ASV524","family","Gadidae","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"87","ASV554","family","Pleuronectidae","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"88","ASV635","genus","Fundulus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"89","ASV675","genus","Gasterosteus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"ASV493","genus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"both"
"90","ASV676","species","Chauliodus sloani","Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae","Chauliodus","Chauliodus sloani","best hit","Has data","Stomiidae","Chauliodus","Sloane's viperfish","bathypelagic",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"91","ASV719","family","Labridae","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"92","ASV843","genus","Alosa","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"93","ASV987","genus","Artediellus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Artediellus","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"94","ASV1090","genus","Liparis","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"ASV120","genus","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"both"
"95",NA,NA,"Megalocottus platycephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV8","species","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Megalocottus","Megalocottus platycephalus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"96",NA,NA,"Salvelinus fontinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV9","species","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Has data","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial",TRUE,"16S"
"97",NA,NA,"Anarhichas lupus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV14","species","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus","best hit","Has data","Anarhichadidae","Anarhichas","Atlantic wolffish","demersal","oceanodromous","highly commercial",TRUE,"16S"
"98",NA,NA,"Ammodytes personatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV29","species","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes personatus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"99",NA,NA,"Cetorhinus maximus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV32","species","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Cetorhinus","Cetorhinus maximus","best hit","Has data","Cetorhinidae","Cetorhinus","Basking shark","pelagic-oceanic","oceanodromous","commercial",TRUE,"16S"
"100",NA,NA,"Paralepididae sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV37","species","Eukaryota","Chordata","Actinopteri","Aulopiformes","Paralepididae","unknown genus","Paralepididae sp.","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"101",NA,NA,"Benthosema glaciale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV38","species","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale","best hit","Has data","Myctophidae","Benthosema","Glacier lantern fish","pelagic-oceanic","non-migratory","of potential interest",TRUE,"16S"
"102",NA,NA,"Perciformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV42","order","Eukaryota","Chordata","Actinopteri","Perciformes","no identification","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"103",NA,NA,"Leucoraja erinaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV44","species","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja erinaceus","best hit","Has data","Rajidae","Leucoraja","Little skate","demersal","oceanodromous",NA,TRUE,"16S"
"104",NA,NA,"Amblyraja radiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV45","species","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","best hit","Has data","Rajidae","Amblyraja","Starry ray","demersal","oceanodromous","minor commercial",TRUE,"16S"
"105",NA,NA,"Pleuronectes platessa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV55","species","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","best hit","Has data","Pleuronectidae","Pleuronectes","European plaice","demersal","oceanodromous","highly commercial",TRUE,"16S"
"106",NA,NA,"Cryptacanthodes maculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV56","species","Eukaryota","Chordata","Actinopteri","Perciformes","Cryptacanthodidae","Cryptacanthodes","Cryptacanthodes maculatus","best hit","Has data","Cryptacanthodidae","Cryptacanthodes","Wrymouth","demersal",NA,NA,TRUE,"16S"
"107",NA,NA,"Liparis bathyarcticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV57","species","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis bathyarcticus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"108",NA,NA,"Ammodytes cf. americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV62","species","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes cf. americanus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"109",NA,NA,"Malacoraja kreffti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV63","species","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Malacoraja","Malacoraja kreffti","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"110",NA,NA,"Eumicrotremus spinosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV66","species","Eukaryota","Chordata","Actinopteri","Perciformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus","best hit","Has data","Cyclopteridae","Eumicrotremus","Atlantic spiny lumpsucker","demersal",NA,NA,TRUE,"16S"
"111",NA,NA,"Lycodes tanakae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV69","species","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes tanakae","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"112",NA,NA,"Lampanyctus macdonaldi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV78","species","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus macdonaldi","best hit","Has data","Myctophidae","Lampanyctus","Rakery beaconlamp","bathypelagic","oceanodromous",NA,TRUE,"16S"
"113",NA,NA,"Perca flavescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV83","species","Eukaryota","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","best hit","Has data","Percidae","Perca","American yellow perch","benthopelagic",NA,"commercial",TRUE,"16S"
"114",NA,NA,"Morone saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV87","species","Eukaryota","Chordata","Actinopteri","unknown order","Moronidae","Morone","Morone saxatilis","best hit","Has data","Moronidae","Morone","Striped bass","demersal","anadromous","minor commercial",TRUE,"16S"
"115",NA,NA,"Conger oceanicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV92","species","Eukaryota","Chordata","Actinopteri","Anguilliformes","Congridae","Conger","Conger oceanicus","best hit","Has data","Congridae","Conger","American conger","demersal","oceanodromous","minor commercial",TRUE,"16S"
"116",NA,NA,"Pungitius laevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV94","species","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius laevis","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"117",NA,NA,"Dipturus batis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV100","species","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Dipturus","Dipturus batis","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"118",NA,NA,"Pontinus rathbuni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV101","species","Eukaryota","Chordata","Actinopteri","Perciformes","Scorpaenidae","Pontinus","Pontinus rathbuni","best hit","Has data","Scorpaenidae","Pontinus","Highfin scorpionfish","demersal",NA,NA,TRUE,"16S"
"119",NA,NA,"Cottidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV102","family","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"120",NA,NA,"Ammodytes americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV106","species","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes americanus","best hit","Has data","Ammodytidae","Ammodytes","American sand lance","demersal",NA,"of potential interest",TRUE,"16S"
"121",NA,NA,"Zenopsis conchifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV119","species","Eukaryota","Chordata","Actinopteri","Zeiformes","Zeidae","Zenopsis","Zenopsis conchifer","best hit","Has data","Zeidae","Zenopsis","Silvery John dory","benthopelagic",NA,"commercial",TRUE,"16S"
"122",NA,NA,"Lampanyctus australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV127","species","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus australis","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"123",NA,NA,"Dermochelys coriacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV147","species","Eukaryota","Chordata","unknown class","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"124",NA,NA,"Lycodes nakamurae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV152","species","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes nakamurae","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"125",NA,NA,"Micropterus dolomieu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV156","species","Eukaryota","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Micropterus","Micropterus dolomieu","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"126",NA,NA,"Myzopsetta punctatissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV163","species","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Myzopsetta","Myzopsetta punctatissima","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"127",NA,NA,"Liparis fabricii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV173","species","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis fabricii","best hit","Has data","Liparidae","Liparis","Gelatinous snailfish","bathydemersal",NA,NA,TRUE,"16S"
"128",NA,NA,"Actinopteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV190","class","Eukaryota","Chordata","Actinopteri","no identification","no identification","no identification","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"129",NA,NA,"Artediellus ochotensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV193","species","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Artediellus","Artediellus ochotensis","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
"130",NA,NA,"Auxis thazard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV199","species","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Auxis","Auxis thazard","best hit","Has data","Scombridae","Auxis","Frigate tuna","pelagic-neritic","oceanodromous","highly commercial",TRUE,"16S"
"131",NA,NA,"Merluccius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV365","genus","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","no identification","lca","Has data",NA,NA,NA,NA,NA,NA,TRUE,"16S"
