"","ASV","#lca rank","#lca taxon","#kingdom","#phylum","#class","#order","#family","#genus","#species","#method","family","genus","FBname","DemersPelag","AnaCat","Importance"
"25","ASV25","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"26","ASV26","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"27","ASV27","species","Salmo trutta","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta","best hit","Salmonidae","Salmo","Sea trout","pelagic-neritic","anadromous","commercial"
"28","ASV28","species","Phycis chesteri","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Phycis","Phycis chesteri","best hit","Phycidae","Phycis","Longfin hake","benthopelagic","non-migratory","of potential interest"
"29","ASV29","species","Ammodytes personatus","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes personatus","best hit",NA,NA,NA,NA,NA,NA
"30","ASV30","species","Glyptocephalus cynoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","best hit","Pleuronectidae","Glyptocephalus","Witch flounder","demersal","oceanodromous","commercial"
"31","ASV31","species","Scomberesox saurus","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Scomberesox","Scomberesox saurus","best hit","Scomberesocidae","Scomberesox","Atlantic saury","pelagic-oceanic","oceanodromous","minor commercial"
"32","ASV32","species","Cetorhinus maximus","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Cetorhinus","Cetorhinus maximus","best hit","Cetorhinidae","Cetorhinus","Basking shark","pelagic-oceanic","oceanodromous","commercial"
"33","ASV33","species","Hippoglossoides platessoides","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","best hit","Pleuronectidae","Hippoglossoides","American plaice","demersal","oceanodromous","highly commercial"
"34","ASV34","species","Myoxocephalus octodecemspinosus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus","best hit","Cottidae","Myoxocephalus","Longhorn sculpin","demersal",NA,NA
"35","ASV35","species","Citharichthys arctifrons","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys arctifrons","best hit","Paralichthyidae","Citharichthys","Gulf Stream flounder","demersal",NA,NA
"36","ASV36","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial"
"37","ASV37","species","Paralepididae sp.","Eukaryota","Chordata","Actinopteri","Aulopiformes","Paralepididae","unknown genus","Paralepididae sp.","best hit",NA,NA,NA,NA,NA,NA
"38","ASV38","species","Benthosema glaciale","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale","best hit","Myctophidae","Benthosema","Glacier lantern fish","pelagic-oceanic","non-migratory","of potential interest"
"39","ASV39","species","Myoxocephalus aenaeus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","best hit","Cottidae","Myoxocephalus","Grubby","demersal",NA,NA
"40","ASV40","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"41","ASV41","species","Triglops murrayi","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Triglops","Triglops murrayi","best hit","Cottidae","Triglops","Moustache sculpin","demersal","non-migratory","of no interest"
"42","ASV42","order","Perciformes","Eukaryota","Chordata","Actinopteri","Perciformes","no identification","no identification","no identification","lca",NA,NA,NA,NA,NA,NA
"43","ASV43","species","Enchelyopus cimbrius","Eukaryota","Chordata","Actinopteri","Gadiformes","Gaidropsaridae","Enchelyopus","Enchelyopus cimbrius","best hit","Lotidae","Enchelyopus","Fourbeard rockling","demersal","oceanodromous","minor commercial"
"44","ASV44","species","Leucoraja erinaceus","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja erinaceus","best hit","Rajidae","Leucoraja","Little skate","demersal","oceanodromous",NA
"45","ASV45","species","Amblyraja radiata","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","best hit","Rajidae","Amblyraja","Starry ray","demersal","oceanodromous","minor commercial"
"46","ASV46","species","Pungitius pungitius","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius","best hit","Gasterosteidae","Pungitius","Ninespine stickleback","benthopelagic","anadromous","subsistence fisheries"
"47","ASV47","species","Syngnathus fuscus","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","best hit","Syngnathidae","Syngnathus","Northern pipefish","demersal","amphidromous",NA
"48","ASV48","species","Glyptocephalus cynoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","best hit","Pleuronectidae","Glyptocephalus","Witch flounder","demersal","oceanodromous","commercial"
"49","ASV49","species","Hippoglossus hippoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","best hit","Pleuronectidae","Hippoglossus","Atlantic halibut","demersal","oceanodromous","commercial"
"50","ASV50","species","Lophius americanus","Eukaryota","Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius americanus","best hit","Lophiidae","Lophius","American angler","demersal","oceanodromous","highly commercial"
"51","ASV51","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"52","ASV53","species","Morone americana","Eukaryota","Chordata","Actinopteri","unknown order","Moronidae","Morone","Morone americana","best hit","Moronidae","Morone","White perch","benthopelagic","anadromous","minor commercial"
"53","ASV54","species","Hemitripterus americanus","Eukaryota","Chordata","Actinopteri","Perciformes","Agonidae","Hemitripterus","Hemitripterus americanus","best hit","Hemitripteridae","Hemitripterus","Sea raven","demersal",NA,NA
"54","ASV55","species","Pleuronectes platessa","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","best hit","Pleuronectidae","Pleuronectes","European plaice","demersal","oceanodromous","highly commercial"
"55","ASV56","species","Cryptacanthodes maculatus","Eukaryota","Chordata","Actinopteri","Perciformes","Cryptacanthodidae","Cryptacanthodes","Cryptacanthodes maculatus","best hit","Cryptacanthodidae","Cryptacanthodes","Wrymouth","demersal",NA,NA
"56","ASV57","species","Liparis bathyarcticus","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis bathyarcticus","best hit",NA,NA,NA,NA,NA,NA
"57","ASV59","species","Peprilus triacanthus","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus triacanthus","best hit","Stromateidae","Peprilus","Atlantic butterfish","benthopelagic","oceanodromous","commercial"
"58","ASV60","species","Oncorhynchus mykiss","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","best hit","Salmonidae","Oncorhynchus","Rainbow trout","benthopelagic","anadromous","highly commercial"
"59","ASV61","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"60","ASV62","species","Ammodytes cf. americanus","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes cf. americanus","best hit",NA,NA,NA,NA,NA,NA
"61","ASV63","species","Malacoraja kreffti","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Malacoraja","Malacoraja kreffti","best hit",NA,NA,NA,NA,NA,NA
